Time,Power - Grid L1,Power - Grid L2,Power - Grid L3,Total
1602837000000.00,10958.94889,10909.01444,10675.4,32543.36333
1602837900000.00,14944.02333,14868.34667,14558.71444,44371.08444
1602838800000.00,16854.82,16779.24889,16422.87444,50056.94333
1602839700000.00,18069.08333,17982.22444,17600.87333,53652.18111
1602840600000.00,13309.59444,13249.16444,12964.71222,39523.47111
1602841500000.00,14602.29,14534.01778,14221.36333,43357.67111
1602842400000.00,12753.89333,12701.17333,12420.91111,37875.97778
1602843300000.00,14826.33333,14753.18,14437.67333,44017.18667
1602844200000.00,17194.77,17100.90111,16746.72444,51042.39556
1602845100000.00,9961.277778,9915.393333,9710.005556,29586.67667
1602846000000.00,9232.055556,9191.663333,8992.525556,27416.24444
1602846900000.00,17247.78,17169.90333,16683.88111,51101.56444
1602847800000.00,19380.71111,19297.00444,18740.62556,57418.34111
1602848700000.00,18559.84444,18453.47556,18062.48444,55075.80444
1602849600000.00,10112.98222,10059.33222,9842.638889,30014.95333
1602850500000.00,9740.147778,9693.69,9484.247778,28918.08556
1602851400000.00,11150.21667,11096.29111,10856.56889,33103.07667
1602852300000.00,9356.144444,9316.577778,9115.553333,27788.27556
1602853200000.00,6210.841111,6191.24,6058.197778,18460.27889
1602854100000.00,13536.15,13468.81778,13179.61333,40184.58111
1602855000000.00,10699.85556,10655.32444,10429.83,31785.01
1602855900000.00,9902.291111,9860.434444,9653.684444,29416.41
1602856800000.00,9824,9783.436667,9579.946667,29187.38333
1602857700000.00,9541.932222,9503.984444,9307.594444,28353.51111
1602858600000.00,7455.417778,7428.374444,7272.702222,22156.49444
1602859500000.00,5376.901111,5361.923333,5254.85,15993.67444
1602860400000.00,3447.535556,3455.896667,3400.724444,10304.15667
1602861300000.00,2206.528889,2212.487778,2172.893333,6591.91
1602862200000.00,1569.616667,1577.8,1549.701111,4697.117778
1602863100000.00,1520.024444,1528.667778,1499.94,4548.632222
1602864000000.00,926.9477778,938.09,922.7244444,2787.762222
1602864900000.00,518.4455556,533.3688889,525.5766667,1577.391111
1602865800000.00,143.4144444,158.0011111,159.4766667,460.8922222
1602866700000.00,-32.53777778,-25.77333333,-11.47444444,-69.78555556
1602867600000.00,-9.686666667,-34.03222222,-36.60888889,-80.32777778
1602868500000.00,-11.30333333,-34.70222222,-43.45666667,-89.46222222
1602869400000.00,-17.56777778,-35.30333333,-41.95555556,-94.82666667
1602870300000.00,-45.69,-35.23444444,-21.87111111,-102.7955556
1602871200000.00,-46.98555556,-35.31444444,-21.25333333,-103.5533333
1602872100000.00,-47.10777778,-35.52888889,-21.39111111,-104.0277778
1602873000000.00,-47.24333333,-35.41555556,-21.32888889,-103.9877778
1602873900000.00,-46.72222222,-34.69777778,-21.13444444,-102.5544444
1602874800000.00,-46.73444444,-35.01777778,-21.16,-102.9122222
1602875700000.00,-46.74444444,-34.85111111,-21.22222222,-102.8177778
1602876600000.00,-46.75,-34.89333333,-21.13333333,-102.7766667
1602877500000.00,-46.78333333,-34.96444444,-21.24111111,-102.9888889
1602878400000.00,-46.93888889,-35.12555556,-21.22888889,-103.2933333
1602879300000.00,-46.90888889,-35.18,-21.24666667,-103.3355556
1602880200000.00,-46.66888889,-34.94111111,-21.27333333,-102.8833333
1602881100000.00,-46.93777778,-35.26333333,-21.21555556,-103.4166667
1602882000000.00,-46.86333333,-34.98111111,-21.27222222,-103.1166667
1602882900000.00,-44.47555556,-35.16888889,-22.68333333,-102.3277778
1602883800000.00,-47.15111111,-35.28444444,-21.51888889,-103.9544444
1602884700000.00,-47.44555556,-35.50444444,-21.49777778,-104.4477778
1602885600000.00,-47.36,-35.51888889,-21.54555556,-104.4244444
1602886500000.00,-11.76333333,-35.04222222,-42.29777778,-89.10333333
1602887400000.00,-63.70666667,-34.99333333,-11.17666667,-109.8766667
1602888300000.00,-55.06777778,-35.09444444,-15.98222222,-106.1444444
1602889200000.00,-48.07222222,-35.33444444,-21.01,-104.4166667
1602890100000.00,-47.15111111,-35.32,-21.34666667,-103.8177778
1602891000000.00,-47.16111111,-35.27777778,-21.52333333,-103.9622222
1602891900000.00,-46.81777778,-34.79555556,-21.25,-102.8633333
1602892800000.00,-46.56515957,-34.81914894,-21.23271277,-102.6170213
1602893700000.00,-46.65555556,-35.12111111,-21.30555556,-103.0822222
1602894600000.00,-46.66888889,-34.91666667,-21.26111111,-102.8466667
1602895500000.00,-58.37,-33.95777778,-8.285555556,-100.6133333
1602896400000.00,-65.31777778,-35.75777778,-14.64444444,-115.72
1602897300000.00,-47.85444444,-34.78111111,-20.52444444,-103.16
1602898200000.00,-46.53333333,-34.78777778,-21.17666667,-102.4977778
1602899100000.00,-46.66777778,-34.76666667,-21.26555556,-102.7
1602900000000.00,-46.74,-35.25777778,-21.25,-103.2477778
1602900900000.00,-46.80888889,-35.05222222,-21.30222222,-103.1633333
1602901800000.00,-46.73111111,-35.17111111,-21.35555556,-103.2577778
1602902700000.00,-48.76,-35.00111111,-20.17777778,-103.9388889
1602903600000.00,-48.20555556,-34.73222222,-20.11333333,-103.0511111
1602904500000.00,-46.75333333,-34.98111111,-21.29111111,-103.0255556
1602905400000.00,-46.78555556,-34.90555556,-21.31222222,-103.0033333
1602906300000.00,-46.62333333,-34.72111111,-21.30111111,-102.6455556
1602907200000.00,-46.70888889,-34.73666667,-21.21666667,-102.6622222
1602908100000.00,-81.72333333,-34.58888889,0.547777778,-115.7644444
1602909000000.00,-47.81222222,-34.50555556,-19.75777778,-102.0755556
1602909900000.00,-46.43111111,-34.64,-20.83555556,-101.9066667
1602910800000.00,-81.61888889,-34.47777778,1.184444444,-114.9122222
1602911700000.00,-55.77666667,-35.35666667,-15.67111111,-106.8044444
1602912600000.00,-48.13111111,-34.87111111,-20.04222222,-103.0444444
1602913500000.00,-45.91555556,-34.79222222,-20.94444444,-101.6522222
1602914400000.00,-41.56,-35.18333333,-19.84777778,-96.59111111
1602915300000.00,98.23333333,105.3255556,116.2211111,319.78
1602916200000.00,660.0333333,668.4133333,664.2944444,1992.741111
1602917100000.00,986.9888889,993.1544444,981.9333333,2962.076667
1602918000000.00,1390.436667,1395.562222,1375.216667,4161.215556
1602918900000.00,2677.712222,2678.094444,2627.421111,7983.227778
1602919800000.00,3829.571111,3823.997778,3746.523333,11400.09222
1602920700000.00,4464.382222,4456.928889,4364.26,13285.57111
1602921600000.00,6025.734444,6007.368889,5883.005556,17916.10889
1602922500000.00,7027.512222,6992.764444,6791.298889,20811.57556
1602923400000.00,6424.901111,6384.811111,6196.21,19005.92222
1602924300000.00,6245.083333,6217.115556,6068.617778,18530.81667
1602925200000.00,7783.73,7746.41,7530.867778,23061.00778
1602926100000.00,8678.362222,8630.084444,8399.061111,25707.50778
1602927000000.00,9918.79,9880.668889,9668.672222,29468.13111
1602927900000.00,11072.82667,11025.66333,10786.30667,32884.79667
1602928800000.00,10164.51556,10124.18222,9905.733333,30194.43111
1602929700000.00,9649.646667,9611.66,9416.188889,28677.49556
1602930600000.00,11566.17889,11516.81444,11263.68,34346.67333
1602931500000.00,15661.64222,15601.56556,15234.3,46497.50778
1602932400000.00,15108.84556,15066.70556,14775.39889,44950.95
1602933300000.00,16039.62889,15985.89667,15720.50222,47746.02778
1602934200000.00,12975.46333,12943.92111,12724.84,38644.22444
1602935100000.00,16053.68889,15998.38778,15729.99222,47782.06889
1602936000000.00,19124.04667,19036.92,18630.18444,56791.15111
1602936900000.00,22240.80222,22132.32333,21756.71778,66129.84333
1602937800000.00,19137.47222,19043.54444,18643.26111,56824.27778
1602938700000.00,20485.10667,20381.08222,20020.80556,60886.99444
1602939600000.00,12354.78889,12293.37222,12034.15444,36682.31556
1602940500000.00,9559.074444,9516.246667,9312.802222,28388.12333
1602941400000.00,9898.608889,9851.28,9642.654444,29392.54333
1602942300000.00,7892.134444,7855.392222,7689.166667,23436.69333
1602943200000.00,7032.312222,7000.816667,6855.062222,20888.19111
1602944100000.00,6116.661111,6093.197778,5967.485556,18177.34444
1602945000000.00,5447.658889,5428.402222,5317.363333,16193.42444
1602945900000.00,5005.514444,4988.792222,4887.747778,14882.05444
1602946800000.00,4837.978889,4844.8,4770.298889,14453.07778
1602947700000.00,3637.083333,3632.978889,3562.887778,10832.95
1602948600000.00,2753.798889,2754.034444,2700.696667,8208.53
1602949500000.00,2355.186667,2352.952222,2305.827778,7013.966667
1602950400000.00,1545.636667,1548.842222,1523.447778,4617.926667
1602951300000.00,873.6866667,881.0555556,870.7466667,2625.488889
1602952200000.00,179.0322222,188.4066667,193.5944444,561.0333333
1602953100000.00,-33.43,-27.63333333,-12.42888889,-73.49222222
1602954000000.00,-44.91888889,-35.22333333,-20.76222222,-100.9044444
1602954900000.00,-46.60888889,-35.28,-21.36666667,-103.2555556
1602955800000.00,-46.69777778,-35.35888889,-21.39777778,-103.4544444
1602956700000.00,-60.96666667,-35.22444444,-12.84777778,-109.0388889
1602957600000.00,-48.18111111,-35.10111111,-20.50111111,-103.7833333
1602958500000.00,-47.26,-35.70888889,-21.23111111,-104.2
1602959400000.00,-49.04666667,-35.57888889,-20.19888889,-104.8244444
1602960300000.00,-53.37888889,-35.66444444,-18.81888889,-107.8622222
1602961200000.00,-48.57888889,-34.98333333,-20.48,-104.0422222
1602962100000.00,-46.76222222,-34.86,-21.49777778,-103.12
1602963000000.00,-46.75444444,-34.95,-21.31111111,-103.0155556
1602963900000.00,-46.94222222,-34.98777778,-21.35888889,-103.2888889
1602964800000.00,-46.95777778,-35.34666667,-21.12888889,-103.4333333
1602965700000.00,-46.67333333,-35.23222222,-21.17111111,-103.0766667
1602966600000.00,-46.44333333,-34.77444444,-20.98,-102.1977778
1602967500000.00,-46.66111111,-34.85111111,-20.93333333,-102.4455556
1602968400000.00,-46.70666667,-34.97888889,-21.21,-102.8955556
1602969300000.00,-46.65444444,-35.16444444,-21.36333333,-103.1822222
1602970200000.00,-46.78111111,-35.18222222,-21.31555556,-103.2788889
1602971100000.00,-48.93666667,-35.12555556,-19.32777778,-103.39
1602972000000.00,-48.06333333,-35.50111111,-20.81555556,-104.38
1602972900000.00,-22.58666667,-35.05111111,-35.04888889,-92.68666667
1602973800000.00,-46.61222222,-35.05333333,-21.13666667,-102.8022222
1602974700000.00,-46.68222222,-35.04222222,-21.14555556,-102.87
1602975600000.00,-46.66444444,-34.99888889,-21.25333333,-102.9166667
1602976500000.00,-46.75333333,-35.31222222,-21.28111111,-103.3466667
1602977400000.00,-46.90111111,-35.31888889,-21.11777778,-103.3377778
1602978300000.00,-46.98555556,-35.27,-21.38222222,-103.6377778
1602979200000.00,-46.96404794,-35.16511318,-21.43808256,-103.5672437
1602980100000.00,-47.12888889,-35.49111111,-21.40222222,-104.0222222
1602981000000.00,-47.26777778,-35.34222222,-21.31111111,-103.9211111
1602981900000.00,-47.18888889,-35.33222222,-21.4,-103.9211111
1602982800000.00,-47.09222222,-35.41,-21.42555556,-103.9277778
1602983700000.00,-47.22333333,-35.28,-21.22,-103.7233333
1602984600000.00,-47.08333333,-35.45222222,-21.28,-103.8155556
1602985500000.00,-47.04444444,-35.35,-21.29666667,-103.6911111
1602986400000.00,-47.20444444,-35.42222222,-21.38222222,-104.0088889
1602987300000.00,-47.03,-35.43666667,-21.26888889,-103.7355556
1602988200000.00,-47.15555556,-35.42333333,-21.31,-103.8888889
1602989100000.00,-47.23666667,-35.43888889,-21.32666667,-104.0022222
1602990000000.00,-47.20111111,-35.25444444,-21.43666667,-103.8922222
1602990900000.00,-46.98777778,-35.40555556,-21.36888889,-103.7622222
1602991800000.00,-47.38111111,-35.42777778,-21.27333333,-104.0822222
1602992700000.00,-47.23777778,-35.45222222,-21.32,-104.01
1602993600000.00,-47.09888889,-35.02555556,-21.07777778,-103.2022222
1602994500000.00,-46.83444444,-34.93222222,-21.15333333,-102.92
1602995400000.00,-46.55111111,-34.94888889,-21.24222222,-102.7422222
1602996300000.00,-46.72888889,-34.84666667,-21.21,-102.7855556
1602997200000.00,-70.06,-34.44666667,-5.52,-110.0266667
1602998100000.00,-61.73444444,-34.53222222,-11.21333333,-107.48
1602999000000.00,-47.57,-34.49222222,-20.19333333,-102.2555556
1602999900000.00,-45.32777778,-34.40888889,-20.52666667,-100.2633333
1603000800000.00,-47.77333333,-34.48222222,-14.01888889,-96.27444444
1603001700000.00,111.7222222,123.3488889,131.6155556,366.6866667
1603002600000.00,534.6688889,549.17,545.2577778,1629.096667
1603003500000.00,1073.153333,1083.733333,1067.658889,3224.545556
1603004400000.00,2008.765556,2015.24,1979.524444,6003.53
1603005300000.00,3497.662222,3493.947778,3429.421111,10421.03111
1603006200000.00,4937.808889,4927.192222,4829.777778,14694.77889
1603007100000.00,5403.501111,5388.937778,5279.722222,16072.16111
1603008000000.00,6101.9,6087.326667,5959.727778,18148.95444
1603008900000.00,6680.956667,6667.554444,6529.472222,19877.98333
1603009800000.00,5393.553333,5384.202222,5273.766667,16051.52222
1603010700000.00,5833.173333,5819.356667,5700.611111,17353.14111
1603011600000.00,8970.186667,8938.973333,8755.677778,26664.83778
1603012500000.00,10710.31,10672.92556,10448.56,31831.79556
1603013400000.00,10367.90778,10335.65,10113.18222,30816.74
1603014300000.00,9480.488889,9450.987778,9245.457778,28176.93444
1603015200000.00,13763.52556,13710.20444,13329.54667,40803.27667
1603016100000.00,11791.57667,11744.96778,11434.48,34971.02444
1603017000000.00,10209.43889,10169.71778,9939.832222,30318.98889
1603017900000.00,8510.274444,8487.22,8307.205556,25304.7
1603018800000.00,11651.14,11615.88444,11368.98,34636.00444
1603019700000.00,9510.171111,9489.114444,9284.185556,28283.47111
1603020600000.00,10729.36444,10705.87556,10508.35111,31943.59111
1603021500000.00,12755.13667,12714.25778,12474.07556,37943.47
1603022400000.00,8382.787778,8356.647778,8183.213333,24922.64889
1603023300000.00,4300.713333,4297.342222,4207.28,12805.33556
1603024200000.00,3028.454444,3030.502222,2968.82,9027.776667
1603025100000.00,1823.718889,1834.306667,1798.984444,5457.01
1603026000000.00,2242.947778,2250.501111,2205.811111,6699.26
1603026900000.00,4144.154444,4142.733333,4055.362222,12342.25
1603027800000.00,3802.92,3803.93,3722.437778,11329.28778
1603028700000.00,1740.09,1749.238889,1714.346667,5203.675556
1603029600000.00,1941.46,1962.518889,1934.59,5838.568889
1603030500000.00,2273.485556,2280.698889,2235.217778,6789.402222
1603031400000.00,2751.467778,2758.331111,2700.688889,8210.487778
1603032300000.00,4466.802222,4430.415556,4283.134444,13180.35222
1603033200000.00,3863.488889,3878.652222,3809.414444,11551.55556
1603034100000.00,3310.461111,3314.064444,3241.883333,9866.408889
1603035000000.00,1645.893333,1655.078889,1621.042222,4922.014444
1603035900000.00,172.6766667,185.3755556,187.3288889,545.3811111
1603036800000.00,87.37777778,125.4844444,142.9155556,355.7777778
1603037700000.00,57.61222222,106.6622222,128.28,292.5544444
1603038600000.00,-26.59222222,-18.03111111,-3.845555556,-48.46888889
1603039500000.00,-41.08,-34.94777778,-19.72444444,-95.75222222
1603040400000.00,-45.99111111,-35.07333333,-21.02888889,-102.0933333
1603041300000.00,-54.37222222,-35.28,-16.23333333,-105.8855556
1603042200000.00,-52.15888889,-34.26333333,-11.03666667,-97.45888889
1603043100000.00,-46.90666667,-35.05333333,-20.91333333,-102.8733333
1603044000000.00,-46.77111111,-35.51777778,-21.31555556,-103.6044444
1603044900000.00,-47.28444444,-35.43777778,-21.44,-104.1622222
1603045800000.00,-47.18555556,-35.74222222,-21.49666667,-104.4244444
1603046700000.00,-47.86888889,-35.66333333,-20.61222222,-104.1444444
1603047600000.00,-44.82888889,-36.31888889,-27.34888889,-108.4966667
1603048500000.00,-27.52666667,-40.63333333,-64.72555556,-132.8855556
1603049400000.00,-49.04,-36.01333333,-20.97777778,-106.0311111
1603050300000.00,-49.05555556,-35.83,-20.22,-105.1055556
1603051200000.00,-47.51777778,-35.88444444,-21.44111111,-104.8433333
