Time,Power - Grid L1,Power - Grid L2,Power - Grid L3,Total
1602882000000.00,3229.838889,-913.1322222,177.3044444,2494.011111
1602882900000.00,-28169.99,-32123.75444,-31014.24556,-91307.99
1602883800000.00,3056.978889,-624.0477778,82.99888889,2515.93
1602884700000.00,2604.508889,-363.52,617.5744444,2858.563333
1602885600000.00,2593.751111,-9.95,-77.68555556,2506.115556
1602886500000.00,-371166.3456,-376459.5644,-376588.71,-1124214.62
1602887400000.00,185775.2611,183063.8256,184681.3867,553520.4733
1602888300000.00,88438.88667,84917.76667,86194.61,259551.2633
1602889200000.00,16110.55444,12813.11667,13391.61222,42315.28333
1602890100000.00,3058.223333,-500.43,194.7122222,2752.505556
1602891000000.00,3171.424444,-757.3411111,353.1911111,2767.274444
1602891900000.00,3373.394444,-961.8166667,294.0222222,2705.6
1602892800000.00,3050.333777,-605.1675532,243.9055851,2689.071809
1602893700000.00,3113.86,-574.7266667,102.3033333,2641.436667
1602894600000.00,3223.078889,-928.4044444,187.8933333,2482.567778
1602895500000.00,99674.61444,95929.82333,97447.21,293051.6478
1602896400000.00,220858.93,217901.5956,219853.9578,658614.4833
1602897300000.00,16316.44333,13040.18333,13520.41889,42877.04556
1602898200000.00,2812.508889,-386.5455556,277.7033333,2703.666667
1602899100000.00,2765.914444,-298.2311111,209.3722222,2677.055556
1602900000000.00,2652.167778,-582.8177778,355.07,2424.42
1602900900000.00,2791.171111,-799.0477778,485.2855556,2477.408889
1602901800000.00,2456.278889,-448.6066667,593.8977778,2601.57
1602902700000.00,21556.21556,18330.44444,19393.51222,59280.17222
1602903600000.00,16950.10889,12966.34111,14804.03667,44720.48667
1602904500000.00,2660.816667,-605.3166667,331.3344444,2386.834444
1602905400000.00,2969.167778,-504.1322222,494.2211111,2959.256667
1602906300000.00,2892.358889,-453.3222222,323.1311111,2762.167778
1602907200000.00,3014.744444,-711.6255556,-231.63,2071.488889
1602908100000.00,382492.8256,379652.8389,382890.2033,1145035.868
1602909000000.00,16312.77,12787.12444,13641.35556,42741.25
1602909900000.00,2816.995556,-343.2977778,290.6033333,2764.301111
1602910800000.00,381946.7256,379416.2044,383095.1278,1144458.058
1602911700000.00,101494.5133,98899.23333,100515.1078,300908.8544
1602912600000.00,16507.50333,13053.57444,14509.52222,44070.6
1602913500000.00,3029.805556,-458.6933333,232.6455556,2803.757778
1602914400000.00,3084.112222,-473.8922222,152.7222222,2762.942222
1602915300000.00,2844.114444,-291.0511111,-463.69,2089.373333
1602916200000.00,2279.066667,-685.78,-1030.161111,563.1255556
1602917100000.00,2086.386667,-1057.504444,-1666.582222,-637.7
1602918000000.00,1806.673333,-1552.678889,-1971.654444,-1717.66
1602918900000.00,267.3066667,-2609.441111,-3031.295556,-5373.43
1602919800000.00,-840.4966667,-3309.36,-4257.753333,-8407.61
1602920700000.00,-1945.165556,-3676.301111,-4815.072222,-10436.53889
1602921600000.00,-2994.115556,-5506.562222,-6174.198889,-14674.87667
1602922500000.00,-383069.7722,-387431.2522,-387382.01,-1157883.034
1602923400000.00,-395272.2756,-400041.6389,-399999.6911,-1195313.606
1602924300000.00,-112702.72,-115743.7067,-117412.1944,-345858.6211
1602925200000.00,-284682.3811,-288293.6956,-289645.7822,-862621.8589
1602926100000.00,-282817.3722,-287453.7244,-288325.7956,-858596.8922
1602927000000.00,-6669.505556,-8493.445556,-9953.716667,-25116.66778
1602927900000.00,-7295.702222,-9745.277778,-11436.22667,-28477.20667
1602928800000.00,-6555.128889,-8979.798889,-10485.14667,-26020.07444
1602929700000.00,59613.06667,56991.71556,55571.17667,172175.9589
1602930600000.00,-7643.581111,-10209.66444,-12125.99,-29979.23556
1602931500000.00,-11652.25556,-12781.24444,-17106.42111,-41539.92111
1602932400000.00,236622.9311,237437.8222,234100.1733,708160.9267
1602933300000.00,345265.9122,345752.3833,343884.6056,1034902.901
1602934200000.00,351109.7244,351677.4156,349113.81,1051900.95
1602935100000.00,380470.2656,380395.0178,377893.09,1138758.373
1602936000000.00,98822.83,96411.74333,94187.30111,289421.8744
1602936900000.00,328785.6711,327048.5044,326951.0222,982785.1978
1602937800000.00,51017.28222,47599.32444,46625.51111,145242.1178
1602938700000.00,280725.88,277870.47,278080.16,836676.51
1602939600000.00,6618.951111,2205.006667,2047.427778,10871.38556
1602940500000.00,-5051.83,-9193.378889,-9840.303333,-24085.51222
1602941400000.00,-5177.864444,-9856.197778,-10022.17778,-25056.24
1602942300000.00,-3158.257778,-7769.453333,-8572.787778,-19500.49889
1602943200000.00,-3048.606667,-6422.5,-7014.847778,-16485.95444
1602944100000.00,-2061.945556,-5922.423333,-6597.65,-14582.01889
1602945000000.00,-1532.91,-5308.4,-5933.44,-12774.75
1602945900000.00,-1136.191111,-4768.742222,-5569.754444,-11474.68778
1602946800000.00,213260.9467,212045.4567,212522.8267,637829.23
1602947700000.00,12128.34333,10403.63444,10440.41333,32972.39111
1602948600000.00,-300.0944444,-2405.391111,-2379.772222,-5085.257778
1602949500000.00,-32020.22,-34330.96333,-35296.64222,-101647.8256
1602950400000.00,857.2355556,-601.7777778,-1700.855556,-1445.397778
1602951300000.00,1188.131111,-409.7911111,-695.6922222,82.64777778
1602952200000.00,1523.646667,929.4022222,-414.9933333,2038.055556
1602953100000.00,1774.523333,1177.936667,-277.5511111,2674.908889
1602954000000.00,827.8688889,1722.06,142.1666667,2692.095556
1602954900000.00,1778.971111,1246.463333,-27.97777778,2997.456667
1602955800000.00,2018.097778,1502.565556,-824.43,2696.233333
1602956700000.00,153055.5911,152691.7822,151425.7878,457173.1611
1602957600000.00,17098.99556,15529.79,14403.44222,47032.22778
1602958500000.00,2694.818889,242.4511111,-188.2511111,2749.018889
1602959400000.00,21853.64111,18486.83111,19544.46333,59884.93556
1602960300000.00,62552.14222,59814.70111,61168.62,183535.4633
1602961200000.00,15892.90889,12037.13,14032.45111,41962.49
1602962100000.00,2841.116667,-967.81,821.3777778,2694.684444
1602963000000.00,2754.41,-1153.842222,1070.617778,2671.185556
1602963900000.00,3306.572222,-1475.352222,797.0688889,2628.288889
1602964800000.00,3330.621111,-1468.78,757.4455556,2619.286667
1602965700000.00,3555.343333,-1127.463333,538.8466667,2966.726667
1602966600000.00,3670.556667,-1664.565556,623.2844444,2629.275556
1602967500000.00,3206.26,-1452.35,842.8022222,2596.712222
1602968400000.00,3094.768889,-1513.267778,813.12,2394.621111
1602969300000.00,2813.807778,-1430.592222,794.8188889,2178.034444
1602970200000.00,3179.72,-1244.973333,353.2477778,2287.994444
1602971100000.00,23188.07,20415.66444,21681.38667,65285.12111
1602972000000.00,15230.49444,13192.62111,13645.96889,42069.08444
1602972900000.00,-255395.3789,-259210.4222,-257959.8944,-772565.6956
1602973800000.00,2492.164444,-150.0977778,422.4777778,2764.544444
1602974700000.00,2331.218889,-234.4555556,581.6866667,2678.45
1602975600000.00,2673.331111,-652.0266667,668.2566667,2689.561111
1602976500000.00,2646.63,-208.3822222,488.7077778,2926.955556
1602977400000.00,2751.861111,-539.13,489.3888889,2702.12
1602978300000.00,2763.53,-575.6066667,691.9466667,2879.87
1602979200000.00,2796.443409,-945.885486,749.4833555,2600.041278
1602980100000.00,2723.977778,-1067.735556,759.3688889,2415.611111
1602981000000.00,2944.721111,-1040.558889,529.1733333,2433.335556
1602981900000.00,3041.885556,-1034.911111,448.0155556,2454.99
1602982800000.00,2952.406667,-858.9166667,520.3733333,2613.863333
1602983700000.00,2760.33,-1176.958889,801.9077778,2385.278889
1602984600000.00,2391.27,-1006.925556,1031.024444,2415.368889
1602985500000.00,2547.167778,-1227.226667,1244.21,2564.151111
1602986400000.00,2899.294444,-1309.184444,1012.277778,2602.387778
1602987300000.00,1769.933333,275.8888889,809.3933333,2855.215556
1602988200000.00,2085.51,-431.1977778,1040.796667,2695.108889
1602989100000.00,2775.268889,-1436.447778,1240.002222,2578.823333
1602990000000.00,3213.17,-1971.428889,1354.044444,2595.785556
1602990900000.00,2734.621111,-1925.053333,1510.927778,2320.495556
1602991800000.00,3186.67,-2154.364444,1566.958889,2599.264444
1602992700000.00,3501.187778,-2105.741111,1011.208889,2406.655556
1602993600000.00,3772.748889,-2251.698889,1083.821111,2604.871111
1602994500000.00,3874.144444,-2418.618889,881.5144444,2337.04
1602995400000.00,3874.42,-2146.81,863.5966667,2591.206667
1602996300000.00,3768.651111,-2099.608889,930.6333333,2599.675556
1602997200000.00,252866.58,248191.5889,251899.3744,752957.5433
1602998100000.00,168450.9167,163963.6822,166867.2989,499281.8978
1602999000000.00,17017.56222,11148.39222,14320.25444,42486.20889
1602999900000.00,3738.501111,-2082.211111,1024.478889,2680.768889
1603000800000.00,74676.35556,69350.11667,72283.41778,216309.89
1603001700000.00,3490.128889,-2125.062222,816.75,2181.816667
1603002600000.00,2763.8,-2482.983333,65.35777778,346.1744444
1603003500000.00,2810.612222,-2919.483333,-446.6866667,-555.5577778
1603004400000.00,1891.181111,-4326.995556,-835.4366667,-3271.251111
1603005300000.00,275.9288889,-5948.295556,-1784.271111,-7456.637778
1603006200000.00,-1586.306667,-6554.113333,-3408.396667,-11548.81667
1603007100000.00,-1710.448889,-6753.02,-4321.333333,-12784.80222
1603008000000.00,-3095.77,-6279.198889,-5075.582222,-14450.55111
1603008900000.00,-4151.551111,-7324.55,-4998.205556,-16474.30667
1603009800000.00,-2556.013333,-6322.473333,-3939.226667,-12817.71333
1603010700000.00,-2683.233333,-6916.543333,-4442.867778,-14042.64444
1603011600000.00,-5785.536667,-9603.028889,-7159.31,-22547.87556
1603012500000.00,-7399.388889,-11230.07889,-9172.627778,-27802.09556
1603013400000.00,-7171.978889,-10520.73222,-9126.536667,-26819.24778
1603014300000.00,-6126.758889,-9530.997778,-8659.067778,-24316.82444
1603015200000.00,-368812.7667,-374562.3011,-371871.1289,-1115246.197
1603016100000.00,-303379.39,-307775.2422,-306088.8178,-917243.45
1603017000000.00,-87814.91,-90980.56889,-89849.73444,-268645.2133
1603017900000.00,-7772.073333,-10098.59,-9235.264444,-27105.92778
1603018800000.00,-8863.591111,-11355.54889,-10068.65222,-30287.79222
1603019700000.00,-7296.874444,-8747.482222,-8222.805556,-24267.16222
1603020600000.00,121614.3167,120005.0944,121701.3722,363320.7833
1603021500000.00,108667.0589,106134.4811,108369.6378,323171.1778
1603022400000.00,7774.874444,4478.542222,5409.258889,17662.67556
1603023300000.00,-1762.915556,-4072.528889,-3737.882222,-9573.326667
1603024200000.00,-538.1055556,-2957.257778,-2487.477778,-5982.841111
1603025100000.00,20580.53556,18795.25111,18509.80556,57885.59222
1603026000000.00,13215.00556,11057.95222,11508.52556,35781.48333
1603026900000.00,-1711.883333,-4165.152222,-3278.547778,-9155.583333
1603027800000.00,-1500.18,-3393.206667,-3328.026667,-8221.413333
1603028700000.00,693.7066667,-1831.334444,-1304.135556,-2441.763333
1603029600000.00,135362.8989,134166.47,135071.3278,404600.6967
1603030500000.00,-59.11555556,-2349.075556,-1461.966667,-3870.157778
1603031400000.00,-1020.713333,-2589.943333,-1634.078889,-5244.735556
1603032300000.00,-470754.2522,-476147.2633,-474422.3778,-1421323.893
1603033200000.00,168829.9167,169096.03,168470.2578,506396.2044
1603034100000.00,11442.64333,11103.59778,9740.995556,32287.23667
1603035000000.00,-330.2077778,-336.2788889,-1334.355556,-2000.842222
1603035900000.00,1612.638889,1286.768889,-517.1255556,2382.282222
1603036800000.00,250072.9778,251350.3644,250584.1011,752007.4433
1603037700000.00,358754.5111,360472.4511,360981.3156,1080208.278
1603038600000.00,11502.59556,11318.00111,10185.61,33006.20667
1603039500000.00,1168.714444,1684.384444,-23.50111111,2829.597778
1603040400000.00,1334.49,1168.396667,233.07,2735.956667
1603041300000.00,86357.62444,85959.31667,85986.07111,258303.0122
1603042200000.00,29873.74444,29319.28,29044.51333,88237.53778
1603043100000.00,2170.226667,1650.843333,1423.806667,5244.876667
1603044000000.00,1390.162222,899.7,674.0688889,2963.931111
1603044900000.00,1481.434444,831.6677778,689.7155556,3002.817778
1603045800000.00,1400.41,832.3133333,666.36,2899.083333
1603046700000.00,2960.695556,2257.972222,2066.067778,7284.735556
1603047600000.00,-7146.824444,-7893.666667,-7888.194444,-22928.68556
1603048500000.00,-64187.47556,-64830.56111,-64367.63889,-193385.6756
1603049400000.00,19992.18222,18122.79444,19008.18556,57123.16222
1603050300000.00,14970.16778,12227.23556,13253.43,40450.83333
1603051200000.00,2350.444444,185.0544444,347.2522222,2882.751111
1603052100000.00,2439.526667,137.4677778,507.37,3084.364444
1603053000000.00,2294.077778,-121.51,563.1955556,2735.763333
1603053900000.00,2061.326667,353.19,677.4755556,3091.992222
1603054800000.00,2108.546667,-13.34777778,916.0777778,3011.276667
1603055700000.00,2580.721111,-517.4922222,631.7022222,2694.931111
1603056600000.00,33884.24222,31542.19,32700.19444,98126.62667
1603057500000.00,22014.70556,19593.24556,21115.18333,62723.13444
1603058400000.00,16277.41111,13560.19556,14788.42556,44626.03222
1603059300000.00,2221.234444,-191.1911111,732.9044444,2762.947778
1603060200000.00,1931.815556,175.44,814.2711111,2921.526667
1603061100000.00,87337.88222,86139.32111,86527.69444,260004.8978
1603062000000.00,87022.88778,85002.53667,85183.94889,257209.3733
1603062900000.00,25695.00778,22927.25889,23249.56556,71871.83222
1603063800000.00,8627.632222,6174.987778,6369.133333,21171.75333
1603064700000.00,2558.293333,77.26,234.8666667,2870.42
1603065600000.00,3464.382979,2101.047872,2068.994681,7634.425532
1603066500000.00,2152.982222,283.9911111,580.8966667,3017.87
1603067400000.00,2192.335556,-58.35666667,561.19,2695.168889
1603068300000.00,13965.36556,11473.02444,12108.20444,37546.59444
1603069200000.00,2355.488889,-165.0644444,494.25,2684.674444
1603070100000.00,9898.618889,7651.856667,8345.05,25895.52556
1603071000000.00,1890.755556,-41.16,803.4522222,2653.047778
1603071900000.00,2076.518889,-250.4211111,804.3922222,2630.49
1603072800000.00,11481.54889,9153.867778,10312.12222,30947.53889
1603073700000.00,1792.811111,-218.8044444,1100.986667,2674.993333
1603074600000.00,1974.118889,-358.21,1048.394444,2664.303333
1603075500000.00,2065.338889,-545.5244444,1135.953333,2655.767778
1603076400000.00,15215.09556,11725.00111,14210.12889,41150.22556
1603077300000.00,2789.757778,-920.9844444,811.0577778,2679.831111
1603078200000.00,11780.9,7689.507778,9243.256667,28713.66444
1603079100000.00,3332.973333,-1080.187778,531.9377778,2784.723333
1603080000000.00,3518.625556,-1289.056667,506.61,2736.178889
1603080900000.00,3508.92,-1528.717778,566.1277778,2546.33
1603081800000.00,3187.287778,-831.32,702.2911111,3058.258889
1603082700000.00,3332.605556,-1265.135556,710.3177778,2777.787778
1603083600000.00,20204.94444,15223.32333,17105.85778,52534.12556
1603084500000.00,8333.961111,4037.811111,6491.908889,18863.68111
1603085400000.00,2895.247778,-1133.505556,829.7977778,2591.54
1603086300000.00,3527.648889,-1407.518889,405.6055556,2525.735556
1603087200000.00,3904.463333,-1925.605556,270.7088889,2249.566667
1603088100000.00,4195.494444,-1527.404444,78.27444444,2746.364444
1603089000000.00,4045.45,-2070.216667,-542.5444444,1432.688889
1603089900000.00,3236.078889,-2108.642222,-1389.304444,-261.8677778
1603090800000.00,2645.353333,-2510.533333,-1701.403333,-1566.583333
1603091700000.00,-404330.5833,-411514.7444,-409410.2489,-1225255.577
1603092600000.00,-486214.98,-493698.3056,-492208.2378,-1472121.523
1603093500000.00,-110661.5902,-115095.7873,-115783.8118,-341541.1893
1603094400000.00,-296.0731707,-4056.945676,-5515.257206,-9868.276053
1603095300000.00,-99184.58778,-103753.92,-104129.8456,-307068.3533
1603096200000.00,-4770.637778,-8114.382222,-8462.353333,-21347.37333
1603097100000.00,-8910.543333,-12882.48333,-12861.37889,-34654.40556
1603098000000.00,-10111.91111,-14313.31,-13968.64222,-38393.86333
1603098900000.00,-11598.76812,-16760.26979,-15958.98105,-44318.01895
1603099800000.00,38930.56035,34620.49723,35351.9845,108903.0421
1603100700000.00,83094.81333,81302.93889,78753.06111,243150.8133
1603101600000.00,-2306.482759,-5342.865406,-7947.536151,-15596.88432
